TeamID,SEASON,TeamName,Conference,Division,LongWinStreak,LongLossStreak,PlayoffRank,DivisionRank,ConferenceGamesBack
1610612751,2023-24,Nets,East,Atlantic,3,6,11,4,32.0
1610612745,2023-24,Rockets,West,Southwest,11,5,11,3,16.0
1610612762,2023-24,Jazz,West,Northwest,6,13,12,4,26.0
1610612761,2023-24,Raptors,East,Atlantic,3,15,12,5,39.0
1610612763,2023-24,Grizzlies,West,Southwest,4,9,13,4,30.0
1610612766,2023-24,Hornets,East,Southeast,4,11,13,4,43.0
1610612759,2023-24,Spurs,West,Southwest,3,18,14,5,35.0
1610612764,2023-24,Wizards,East,Southeast,3,16,14,5,49.0
1610612765,2023-24,Pistons,East,Central,2,28,15,5,50.0
1610612757,2023-24,Trail Blazers,West,Northwest,3,10,15,5,36.0
